p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
1.1826347749082411e-113,3.2595875901973574,1,0.007,2.7603878281133256e-109,Khdrbs3
1.1826347749082411e-113,2.731608480185022,1,0.007,2.7603878281133256e-109,Gm4980
1.4369527425423796e-113,3.454736384923265,1,0.007,3.353991396368168e-109,Nlgn2
2.749063266776749e-113,3.6789978413512103,1,0.007,6.41658857098361e-109,Hdhd3
2.0759240730393625e-110,3.6753126590935308,1,0.007,4.845414378881176e-106,Adcy4
2.5076563637992908e-110,3.8305928945352936,1,0.007,5.853120718743924e-106,E230029C05Rik
3.0289607751040155e-110,3.958466854308739,1,0.007,7.069897345170282e-106,Zfp111
4.148912646415672e-110,3.3707756892641543,1,0.007,9.68397700799882e-106,Dnalc1
4.418268545329128e-110,3.2187743949766228,1,0.007,1.031268061165272e-105,X99384
5.681840175894583e-110,3.385512766424231,1,0.007,1.3261983154555546e-105,Airn
7.779609828491254e-110,3.0371727033213953,1,0.007,1.8158387300681437e-105,H2afy2
7.843204359708123e-110,2.6993057057605228,0.75,0.004,1.830682329599473e-105,Cdh2
8.508557955476363e-110,0.7129815622899311,0.25,0,1.9859825123877377e-105,Skint3
1.0927939104467405e-109,0.49664454120471774,0.25,0,2.550690266373737e-105,Il5
1.0927939104467405e-109,0.41819152664868076,0.25,0,2.550690266373737e-105,Cd300lh
1.4575976699148987e-109,3.6903726368606256,1,0.007,3.402178721348365e-105,Cd200r1
1.873326065889254e-109,3.376956340662523,1,0.007,4.372530370392108e-105,F630028O10Rik
2.1765137183652395e-109,1.0629310846104258,0.5,0.002,5.080200670036306e-105,Gm14047
9.43766343310748e-107,3.5928916537278313,1,0.007,2.202845021921617e-102,Sardh
9.43766343310748e-107,3.3660981285082068,1,0.007,2.202845021921617e-102,Fkbp1b
1.1332075352600112e-106,1.7349895071730876,1,0.007,2.645019708050392e-102,Figf
3.002681697204293e-106,2.902166722512937,1,0.007,7.008559349444541e-102,C1qtnf9
2.1686058893867376e-104,5.573601269504318,1,0.008,5.061743006417584e-100,Cd300ld
2.301346921077414e-104,3.747435617212684,1,0.008,5.371573848486792e-100,Tcf21
3.096997468710785e-104,4.805596192257602,1,0.008,7.228701791717844e-100,Clec4a2
4.421652174126155e-104,3.4519826282031723,1,0.008,1.0320578339627858e-99,Clec10a
4.6464206754857185e-104,1.7926739803715304,0.75,0.004,1.0845210498651216e-99,Wnt5a
4.9785926971501645e-104,3.5589495706735965,1,0.008,1.16205332144182e-99,Olfr1033
1.0756828422890206e-103,3.531977979563954,1,0.008,2.510751322186803e-99,Snta1
1.2995254099899653e-103,2.2551668633972084,0.75,0.004,3.033222259457578e-99,Naip7
2.6451125961723114e-103,2.3878402546764614,0.75,0.004,6.173957310725792e-99,Stk32c
1.4551868406109362e-101,5.442410631657047,1,0.008,3.3965516046699863e-97,Mgl2
2.3093154109770164e-101,3.5131921073424044,1,0.008,5.390173100761454e-97,B3galnt1
3.0812992773974264e-101,4.843032402908827,1,0.008,7.192060643373332e-97,Pilra
5.807759053820871e-101,3.9555551434472065,1,0.008,1.3555890407523295e-96,Enpp3
2.3082746128327474e-100,2.2752769459850475,1,0.008,5.387743773812916e-96,Slc6a9
2.357188673669783e-99,2.9602842114498116,0.75,0.004,5.501914083212641e-95,Slc16a9
1.7665047522430295e-98,3.9864809086869224,1,0.008,4.123198742210455e-94,Acvr1
2.472675581126591e-98,3.8606295666527903,1,0.008,5.771472073907576e-94,Tnfrsf11a
7.572047905154216e-98,3.584914306542713,1,0.008,1.7673917015420456e-93,Hk3
1.0246092539248218e-97,1.326852191045195,0.5,0.002,2.3915404595859265e-93,Kcnj9
1.5989822795377376e-97,0.8196430773698815,0.5,0.002,3.7321845386690334e-93,Zfpm2
1.7870414672185382e-97,1.4844307479171532,0.5,0.002,4.17113348863479e-93,Gm16617
4.5117360444685383e-97,3.148255115024466,1,0.008,1.0530843101394015e-92,4921530L18Rik
3.345796425642674e-96,4.499355796170972,1,0.008,7.809423437092565e-92,Agmo
1.719240039896017e-95,3.618772785943092,1,0.008,4.012878177121293e-91,Alox5
1.9251956267942105e-94,3.3418992779773653,0.75,0.005,4.493599112500366e-90,Fam70b
2.3873281931587934e-94,2.633549826898183,0.75,0.005,5.57226273565194e-90,Gli3
2.56476417545442e-94,2.2551962779564345,0.75,0.005,5.986416061928161e-90,Ldb2
6.506259908986602e-94,1.140926025440804,0.75,0.005,1.5186261253565628e-89,Vash1
9.302299351104287e-94,2.4707182589693697,0.75,0.005,2.1712496915412517e-89,Fndc7
6.498575043989862e-93,2.0940208379118266,1,0.009,1.5168324010176737e-88,B4galt6
1.1036907988416785e-92,3.7690284096373023,1,0.009,2.576124693576362e-88,Snai1
1.9748994182052943e-92,3.8707093920922704,1,0.009,4.6096127320329776e-88,Xlr
2.3142040680281497e-92,3.0369224682702316,1,0.009,5.401583715184504e-88,Itgax
1.0682471728590441e-91,2.8257662453236687,1,0.009,2.493395726170295e-87,Rwdd2a
3.1218915905548156e-91,4.739496595068633,1,0.009,7.286807161513995e-87,Abca6
8.792647902845043e-91,3.794724559617216,1,0.009,2.0522919470030612e-86,Tmem22
6.573394014833215e-90,1.8132784192197007,1,0.009,1.5342958970022208e-85,Tle2
3.218693659386647e-89,5.936816099814858,1,0.009,7.512752870374372e-85,Clec7a
6.87230273457604e-89,3.903946843945127,1,0.009,1.6040641812773935e-84,Clec5a
7.228393095553401e-89,3.9066226820114003,1,0.009,1.6871792324331193e-84,Ptpro
8.84651351524946e-89,5.38403946979695,1,0.009,2.0648647195943766e-84,Ms4a7
2.1928738440813417e-88,3.1576297001212708,1,0.009,5.118386839470259e-84,Nrbp2
6.109578441799491e-88,1.6719441087626021,0.5,0.002,1.4260367041004193e-83,Sirpb1b
4.236379806399646e-87,1.624633416802954,1,0.009,9.888134106117414e-83,Bivm
4.786805765620656e-87,6.171938070288828,1,0.009,1.1172883337535172e-82,Pf4
6.436732486331848e-87,4.427839680305917,1,0.009,1.5023977296347166e-82,Folr2
9.550098690162038e-87,4.202887546893887,1,0.009,2.2290885352707214e-82,Dab2
1.22182647531267e-86,3.8119672793091994,1,0.009,2.851865176027303e-82,Unc45b
2.556298104094224e-86,2.8676441739227947,1,0.009,5.966655404766328e-82,Col15a1
