p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue
1.3687870789918897e-11,0.25839539393027433,0.661,0.618,3.19488592107497e-7,0,Capg,Spleen
1.5232897670517562e-11,0.3155172756220166,0.189,0.264,3.555510645275504e-7,0,Lypla1,Spleen
1.7690337077899298e-11,0.28877923551872353,0.313,0.413,4.129101577352475e-7,0,Rsbn1l,Spleen
1.957451118268647e-11,0.6896932732355072,0.251,0.251,4.568886655150849e-7,0,Strn4,Spleen
2.587104462805819e-11,0.37056183867934367,0.258,0.328,6.038560526635063e-7,0,Taf1d,Spleen
2.7902291503182497e-11,0.5768514269635858,0.326,0.22,6.512673859757827e-7,0,Cnr2,Spleen
2.819984601644371e-11,0.34048883276304576,0.224,0.307,6.582126058698126e-7,0,Ywhag,Spleen
3.123548315918468e-11,0.2621950711173282,0.221,0.315,7.290674124185297e-7,0,Gtf3c2,Spleen
4.6457666837240754e-11,0.2656817895117287,0.368,0.476,1.0843684016480365e-6,0,Caprin1,Spleen
7.132953651073103e-11,0.8649980283413621,0.253,0.164,1.664902711696973e-6,0,Cd36,Spleen
7.345485749720125e-11,0.33364349718713004,0.294,0.24,1.7145098288421745e-6,0,Bmyc,Spleen
8.014763851502426e-11,0.5496260246850841,0.384,0.279,1.8707260305791811e-6,0,Rhof,Spleen
1.0167024246892431e-10,0.2804055014482403,0.296,0.396,2.3730851294671623e-6,0,Dhx15,Spleen
1.0267890904650509e-10,0.4064469129310391,0.578,0.655,2.3966284160544755e-6,0,Wdr1,Spleen
1.4413206670721297e-10,0.40508369648727705,0.306,0.348,3.364186569013058e-6,0,Parvg,Spleen
1.6617780428327476e-10,0.5793788811837786,0.272,0.174,3.8787561297759165e-6,0,Ddit4,Spleen
1.849534871441648e-10,0.5975210142226466,0.37,0.258,4.3169993434319506e-6,0,Gimap8,Spleen
2.1183380656517585e-10,0.6477195450572859,0.278,0.243,4.9444128790377695e-6,0,Sh2d3c,Spleen
2.392743582877528e-10,0.3528815065477531,0.381,0.445,5.584902796794438e-6,0,Mgat1,Spleen
3.359908284496248e-10,0.2737362705734969,0.209,0.295,7.842361926842693e-6,0,Elovl5,Spleen
3.512210308551086e-10,0.5575273943176113,0.218,0.268,8.19785008118909e-6,0,Ncstn,Spleen
3.706550473902933e-10,0.4277829770260295,0.546,0.539,8.651459461136837e-6,0,Gga2,Spleen
3.8542667128010556e-10,0.3104509184525863,0.349,0.443,8.996243934348944e-6,0,Rlim,Spleen
5.358469151694901e-10,0.260376832413022,0.691,0.687,1.2507202846971068e-5,0,Grcc10,Spleen
6.41091072274053e-10,0.3091289021610244,0.6,0.674,1.4963706717948672e-5,0,Csk,Spleen
6.938281369410999e-10,0.6036803860326421,0.263,0.166,1.6194642544342214e-5,0,Tlr1,Spleen
1.0026798660092073e-9,0.3354163404862609,0.361,0.423,2.3403550752520907e-5,0,Tap2,Spleen
1.060291255279135e-9,0.675711894186394,0.456,0.37,2.474825818947029e-5,0,Ciita,Spleen
1.2725089825410277e-9,0.3061871560221858,0.496,0.421,2.9701632161490126e-5,0,Gpr18,Spleen
1.3564205552669807e-9,0.253681710015087,0.229,0.297,3.16602121804866e-5,0,Zc3hav1,Spleen
1.671606300631055e-9,0.2764376998609519,0.256,0.348,3.901696266302946e-5,0,Acly,Spleen
2.1351204551006055e-9,0.2788115568530225,0.252,0.341,4.983584654250323e-5,0,Flii,Spleen
2.4988455603739832e-9,0.35837373580387544,0.218,0.281,5.832555422468914e-5,0,Sf3a2,Spleen
2.62775544821565e-9,0.5171526662052996,0.453,0.362,6.133443991680149e-5,0,Vasp,Spleen
2.788882081017883e-9,0.4965529931634687,0.362,0.319,6.509529665303841e-5,0,Evl,Spleen
3.5480721546814667e-9,0.3268663743314386,0.282,0.366,8.281555216242012e-5,0,Pdcd6ip,Spleen
3.714569889594084e-9,0.37389270336609215,0.336,0.388,8.670177579301552e-5,0,Mysm1,Spleen
