p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.279740337469349e-9,0.3209660424188767,0.414,0.155,5.3211419216872075e-5,1,Fam96a1
2.2852763828105494e-9,0.47271778527551156,0.486,0.209,5.334063605118103e-5,1,Pdhb1
2.357830271668837e-9,0.7803143813428886,0.471,0.209,5.5034116371022324e-5,1,Nsf1
2.4345957663741657e-9,0.9093654151242667,0.257,0.064,5.68258997829394e-5,1,Arhgap241
2.5941860373975147e-9,0.2726775636300074,0.507,0.222,6.055089629889539e-5,1,Fam111a1
2.6268610775060496e-9,0.47327134385358693,0.35,0.112,6.13135644100687e-5,1,Ruvbl11
2.6669209531896788e-9,0.41079393249728646,0.964,0.767,6.224860196840029e-5,1,Actr31
2.7464743087301035e-9,0.33874270506544946,0.7,0.385,6.410545684006935e-5,1,Tgfbr21
2.9724457405087898e-9,0.6770387636296356,0.414,0.176,6.937985602921567e-5,1,Tpi11
3.0149583415765655e-9,0.30192189768457123,0.379,0.128,7.037214265073862e-5,1,Sdhaf21
3.1705726177883145e-9,0.5365098726308752,0.429,0.166,7.400433547179705e-5,1,Gatad2a1
3.1952012130182283e-9,0.3440408080815778,0.514,0.219,7.457919151305847e-5,1,Apbb1ip1
3.230683694898226e-9,0.30850500710075046,0.579,0.267,7.54073881226195e-5,1,Mgea51
3.3269209234990603e-9,0.4164702708579311,0.443,0.174,7.765366127539156e-5,1,Btbd11
3.3649785959757333e-9,0.4825239019124048,0.607,0.329,7.85419654086696e-5,1,Camk2d1
3.450213569301185e-9,0.6585168243927897,0.329,0.104,8.053143492105896e-5,1,Ubr51
3.4637491254265637e-9,0.4432155372780744,0.486,0.206,8.084736833658142e-5,1,Cebpz1
3.620347812069065e-9,0.4092865022699801,0.436,0.168,8.450253828150404e-5,1,Sirt71
3.6629861545696513e-9,0.3112899640779645,0.45,0.171,8.549775983381024e-5,1,Cd401
3.71968722673164e-9,0.9716862167053497,0.45,0.201,8.68212195591432e-5,1,Usp9x1
3.906551313205271e-9,0.4019780854820194,0.507,0.23,9.118281420152423e-5,1,Eif4g31
4.207351672156255e-9,1.1829731742443141,0.3,0.094,9.820379537979914e-5,1,1700017B05Rik1
4.2753851581904676e-9,0.47845720301675687,0.493,0.225,9.979176497732371e-5,1,Caprin11
