MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s),category
MGI:109294,Cd244,CD244 natural killer cell receptor 2B4,1,,external side of plasma membrane,,,ISO,Q9BZW8 ,J:145327 ,external side of plasma membrane
MGI:1926446,Cd274,CD274 antigen,19,,external side of plasma membrane,,,IDA,,J:94873 ,external side of plasma membrane
MGI:2183926,Cd276,CD276 antigen,9,,external side of plasma membrane,is a part of osteoblast,,IDA,,J:92445 ,external side of plasma membrane
MGI:2183926,Cd276,CD276 antigen,9,,external side of plasma membrane,is a part of fibroblast|is a part of B cell|is a part of dendritic cell|is a part of macrophage,,IDA,,J:84973 ,external side of plasma membrane
MGI:105057,Cdh5,cadherin 5,8,,external side of plasma membrane,,,IDA,,J:199353 ,external side of plasma membrane
MGI:99551,Cdh13,cadherin 13,8,,external side of plasma membrane,,,IDA,,J:92987 ,external side of plasma membrane
MGI:1347245,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,7,,external side of plasma membrane,,PR:000044465,IDA,,J:33703 J:216276 ,external side of plasma membrane
MGI:1347245,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,7,,external side of plasma membrane,happens in B cell,PR:P31809,IDA,,J:84339 ,external side of plasma membrane
MGI:1347245,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,7,,external side of plasma membrane,,PR:Q3LFS8,IDA,,J:33703 J:199631 ,external side of plasma membrane
MGI:1347245,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,7,,external side of plasma membrane,"happens in T cell,happens in spleen|happens in T cell,happens in mesenteric lymph node|happens in T cell,happens in Peyer's patch|happens in T cell,happens in colon lamina propria",,IDA,,J:190980 ,external side of plasma membrane
MGI:1347245,Ceacam1,carcinoembryonic antigen-related cell adhesion molecule 1,7,,external side of plasma membrane,"happens in T cell,happens in thymus",PR:000044463,IDA,,J:116136 ,external side of plasma membrane
MGI:1347246,Ceacam2,carcinoembryonic antigen-related cell adhesion molecule 2,7,,external side of plasma membrane,,PR:Q925P2-3,IDA,,J:199631 ,external side of plasma membrane
MGI:87888,Chrna4,"cholinergic receptor, nicotinic, alpha polypeptide 4",2,,external side of plasma membrane,"is a part of spleen,is a part of B cell",,IDA,,J:103908 ,external side of plasma membrane
MGI:99779,Chrna7,"cholinergic receptor, nicotinic, alpha polypeptide 7",7,,external side of plasma membrane,"is a part of spleen,is a part of B cell",,IDA,,J:103908 ,external side of plasma membrane
MGI:87891,Chrnb2,"cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal)",3,,external side of plasma membrane,"is a part of spleen,is a part of B cell",,IDA,,J:103908 ,external side of plasma membrane
MGI:103555,Clcn3,"chloride channel, voltage-sensitive 3",8,,external side of plasma membrane,,,ISO,P51790 ,J:164563 ,external side of plasma membrane
MGI:2135589,Clec2d,"C-type lectin domain family 2, member d",6,,external side of plasma membrane,,,IDA,,J:86948 J:89706 ,external side of plasma membrane
MGI:2136650,Clec2i,"C-type lectin domain family 2, member i",6,,external side of plasma membrane,,,IDA,,J:86948 ,external side of plasma membrane
MGI:3588267,Clec4b2,"C-type lectin domain family 4, member b2",6,,external side of plasma membrane,is a part of dendritic cell,,IDA,,J:153802 ,external side of plasma membrane
MGI:1861431,Clec7a,"C-type lectin domain family 7, member a",6,,external side of plasma membrane,is a part of macrophage,,IDA,,J:87632 J:89006 ,external side of plasma membrane
MGI:1861431,Clec7a,"C-type lectin domain family 7, member a",6,,external side of plasma membrane,is a part of macrophage|is a part of monocyte|is a part of mature neutrophil|is a part of dendritic cell,,IDA,,J:89997 ,external side of plasma membrane
MGI:1861431,Clec7a,"C-type lectin domain family 7, member a",6,,external side of plasma membrane,,,IDA,,J:89998 ,external side of plasma membrane
MGI:1918433,Clec12b,"C-type lectin domain family 12, member B",6,,external side of plasma membrane,,,ISO,Q2HXU8 ,J:164563 ,external side of plasma membrane
MGI:1914114,Clec14a,"C-type lectin domain family 14, member a",12,,external side of plasma membrane,,,ISO,Q86T13 ,J:232756 ,external side of plasma membrane
MGI:1927155,Clptm1,cleft lip and palate associated transmembrane protein 1,7,,external side of plasma membrane,,,IDA,,J:135028 ,external side of plasma membrane
MGI:88513,Cr1l,complement component (3b/4b) receptor 1-like,1,,external side of plasma membrane,is a part of erythrocyte,,IDA,,J:145047 ,external side of plasma membrane
MGI:88489,Cr2,complement receptor 2,1,,external side of plasma membrane,"is a part of spleen,is a part of B cell",,IDA,,J:99189 ,external side of plasma membrane
MGI:88489,Cr2,complement receptor 2,1,,external side of plasma membrane,,,IDA,,J:87927 J:148242 ,external side of plasma membrane
MGI:88489,Cr2,complement receptor 2,1,,external side of plasma membrane,is a part of marginal zone B cell|is a part of follicular B cell,,IDA,,J:110739 ,external side of plasma membrane
MGI:88489,Cr2,complement receptor 2,1,,external side of plasma membrane,is a part of B cell,,IDA,,J:19437 ,external side of plasma membrane
MGI:1889506,Crlf2,cytokine receptor-like factor 2,5,,external side of plasma membrane,,,IDA,,J:93059 ,external side of plasma membrane
MGI:88556,Ctla4,cytotoxic T-lymphocyte-associated protein 4,1,,external side of plasma membrane,"is a part of CD4-positive, alpha-beta T cell",,IDA,,J:112602 ,external side of plasma membrane
